Sun:  Spectral Radiance,
Wavelength (nm),Solar Radiance
,(watts/m2-sr-nm)
443.5,28073.529411764706
444.49999999999994,29014.705882352944
445.5,26779.41176470588
446.49999999999994,27808.823529411766
447.5,30544.11764705882
448.5,29014.705882352944
449.49999999999994,29808.823529411766
450.5,31529.411764705885
451.49999999999994,31014.70588235294
452.5,28544.117647058825
453.49999999999994,28970.58823529412
454.5,29102.94117647059
455.5,29911.76470588235
456.49999999999994,30544.11764705882
457.5,30882.352941176472
458.49999999999994,28985.29411764706
459.5,29544.11764705882
460.49999999999994,30000.0
461.49999999999994,30220.58823529412
462.5,30941.176470588238
463.49999999999994,30000.0
464.5,29058.823529411766
465.49999999999994,30029.41176470588
466.5,28250.0
467.5,29632.352941176472
468.49999999999994,29323.529411764706
469.5,29264.70588235294
470.49999999999994,27602.941176470587
471.5,29676.47058823529
472.49999999999994,30014.70588235294
473.49999999999994,29279.411764705885
474.5,30161.764705882357
475.49999999999994,29647.058823529413
476.5,28764.70588235294
477.49999999999994,30514.705882352944
478.49999999999994,29544.11764705882
479.5,30529.411764705885
480.49999999999994,29926.470588235297
481.49999999999994,30735.294117647056
482.5,29750.000000000004
483.5,29691.176470588238
484.49999999999994,28955.88235294118
485.5,26911.764705882353
486.5,23897.058823529413
487.49999999999994,26911.764705882353
488.49999999999994,28147.058823529413
489.5,28823.529411764706
490.5,29514.705882352944
491.49999999999994,27882.35294117647
492.5,27882.35294117647
493.5,27764.70588235294
494.49999999999994,30264.70588235294
495.49999999999994,28323.529411764706
496.5,29661.764705882353
497.49999999999994,29676.47058823529
498.49999999999994,27441.176470588238
499.5,28970.58823529412
500.5,27308.823529411766
501.49999999999994,26647.058823529413
502.49999999999994,27852.941176470587
503.5,28441.176470588234
504.49999999999994,27485.29411764706
505.49999999999994,29308.823529411766
506.5,28838.235294117647
507.5,28029.41176470588
508.49999999999994,28220.58823529412
509.49999999999994,28176.470588235294
510.5,28632.352941176472
511.49999999999994,29367.64705882353
512.4999999999999,27455.88235294118
513.5,27367.647058823528
514.5,27558.823529411766
515.5,27941.176470588234
516.5,24544.117647058825
517.5,25382.352941176472
518.5,24323.529411764706
519.4999999999999,26882.352941176472
520.5,26926.470588235294
521.5,28029.41176470588
522.4999999999999,26808.823529411766
523.5,27852.941176470587
524.5,28794.11764705882
525.5,28382.35294117647
526.4999999999999,24617.647058823528
527.5,26882.352941176472
528.5,27897.058823529413
529.4999999999999,28205.882352941175
530.5,28705.882352941175
531.5,28867.64705882353
532.5,26029.41176470588
533.4999999999999,28279.411764705885
534.5,27323.529411764706
535.5,29264.70588235294
536.4999999999999,27514.70588235294
537.5,27676.470588235294
538.5,28000.0
539.5,26941.176470588238
540.4999999999999,25882.352941176472
541.5,27661.764705882353
542.5,26838.235294117647
543.4999999999999,27632.352941176472
544.5,27632.352941176472
545.5,27955.88235294118
546.4999999999999,27632.352941176472
547.5,26955.882352941175
548.5,27397.058823529413
549.5,27867.64705882353
550.4999999999999,27382.352941176472
551.5,27514.70588235294
552.5,27147.058823529413
553.4999999999999,27676.470588235294
554.5,27911.764705882353
555.5,27897.058823529413
556.5,26779.41176470588
557.4999999999999,27147.058823529413
558.5,26279.41176470588
559.5,26588.235294117647
560.4999999999999,27102.941176470587
561.5,26823.529411764706
562.5,27205.88235294118
563.5,27367.647058823528
564.4999999999999,27264.705882352944
565.5,26441.176470588238
566.5,26897.058823529413
567.4999999999999,27750.0
568.5,26617.64705882353
569.5,27352.94117647059
570.5,26014.70588235294
571.4999999999999,26808.823529411766
572.5,27823.529411764706
573.5,27588.235294117647
574.4999999999999,27455.88235294118
575.5,26911.764705882353
576.5,27147.058823529413
577.4999999999999,27308.823529411766
578.5,26220.588235294115
579.5,26882.352941176472
580.5,27029.411764705885
581.4999999999999,27250.0
582.5,27544.117647058825
583.5,27308.823529411766
584.4999999999999,27352.94117647059
585.5,26220.588235294115
586.5,26911.764705882353
587.5,27176.470588235297
588.4999999999999,25735.29411764706
589.5,23705.88235294118
590.5,26661.764705882353
591.4999999999999,26279.41176470588
592.5,26588.235294117647
593.5,26411.764705882353
594.5,26073.529411764706
595.4999999999999,26205.88235294118
596.5,26544.11764705882
597.5,26176.470588235294
598.4999999999999,25838.235294117647
599.5,26088.235294117647
600.5,25676.470588235294
601.4999999999999,25750.0
602.4999999999999,25279.411764705885
603.5,26279.41176470588
604.5,26117.64705882353
605.4999999999999,25926.470588235294
606.5,25867.647058823528
607.5,25838.235294117647
608.4999999999999,25632.352941176472
609.5,25647.058823529413
610.5,25044.117647058825
611.5,25676.470588235294
612.4999999999999,25073.529411764706
613.5,24750.0
614.5,25191.176470588238
615.4999999999999,25191.176470588238
616.5,23661.764705882353
617.5,25102.94117647059
618.5,25352.941176470587
619.4999999999999,25102.94117647059
620.5,25500.0
621.5,24852.941176470587
622.4999999999999,25191.176470588238
623.5,24500.0
624.5,24352.941176470587
625.5,24000.0
626.4999999999999,24955.88235294118
627.5,24955.88235294118
628.5,24955.88235294118
629.4999999999999,24661.764705882353
630.9999999999999,24102.941176470587
633.0,24279.41176470588
634.9999999999999,24352.941176470587
637.0,24323.529411764706
639.0,24279.41176470588
640.9999999999999,23735.29411764706
643.0,23838.235294117647
644.9999999999999,23926.470588235294
647.0,23573.529411764706
648.9999999999999,22911.764705882353
651.0,23617.64705882353
653.0,23514.70588235294
654.9999999999999,22529.411764705885
657.0,20352.941176470587
658.9999999999999,22779.41176470588
661.0,23102.941176470587
663.0,22867.647058823528
665.0,22941.176470588238
667.0,22573.529411764706
668.9999999999999,22735.29411764706
671.0,22294.117647058825
672.9999999999999,22367.647058823528
675.0,22205.88235294118
677.0,22176.470588235294
678.9999999999999,22029.41176470588
681.0,21941.176470588234
682.9999999999999,21750.0
685.0,21397.058823529413
687.0,21573.529411764706
689.0,21485.29411764706
691.0,21294.11764705882
692.9999999999999,21294.11764705882
695.0,21117.647058823528
696.9999999999999,20823.529411764706
699.0,20955.88235294118
701.0,20382.35294117647
702.9999999999999,20411.764705882353
705.0,20808.823529411766
706.9999999999999,20588.235294117647
709.0,20352.941176470587
710.9999999999999,20367.647058823528
713.0,20191.176470588234
715.0,20088.23529411765
716.9999999999999,19911.764705882353
719.0,19529.411764705885
720.9999999999999,19573.529411764706
723.0,19823.529411764706
725.0,19852.94117647059
726.9999999999999,19794.117647058825
729.0,19397.058823529413
730.9999999999999,19500.0
733.0,19382.352941176472
734.9999999999999,19250.0
737.0,19220.588235294115
739.0,18794.117647058825
